[2017-07-06 04:11:43] <Sedat Gokcen> [Tweet] https://twitter.com/adrianfcole/status/882783229408759809
[2017-07-06 04:42:43] <Sedat Gokcen> [Tweet] https://twitter.com/microweekly/status/882768309422370821
[2017-07-07 09:28:29] <Sedat Gokcen> [Tweet] https://twitter.com/markdalgleish/status/883087673644023808
[2017-07-08 13:55:47] <Sedat Gokcen> [Tweet] https://twitter.com/andrestaltz/status/883642199652564992
[2017-07-08 16:22:24] <Sedat Gokcen> [Tweet] https://twitter.com/java/status/883691253262499840
[2017-07-09 15:41:27] <Sedat Gokcen> [Tweet] https://twitter.com/reinhard_codes/status/884011752811151360
[2017-07-09 15:59:03] <Sedat Gokcen> [Tweet] https://twitter.com/maeddes/status/884040485853155328
[2017-07-11 00:11:39] <Sedat Gokcen> [Tweet] https://twitter.com/fplusplus/status/884526574078484480
[2017-07-11 11:43:59] <Sedat Gokcen> [Tweet] https://twitter.com/troyhunt/status/884693559521140736
[2017-07-11 13:20:38] <Sedat Gokcen> https://twitter.com/aklingozu/status/884716658799128576
[2017-07-11 16:22:29] <Sedat Gokcen> [Tweet] https://twitter.com/javabird/status/884776834751234048
[2017-07-13 16:46:27] <Sedat Gokcen> [Tweet] https://twitter.com/java/status/885500313540608001
[2017-07-14 04:08:23] <Sedat Gokcen> https://twitter.com/aklingozu/status/841786924624945155
[2017-07-14 04:16:56] <Sedat Gokcen> [Tweet] https://twitter.com/jjinux/status/885674699165794304
[2017-07-14 10:20:59] <Sedat Gokcen> [Tweet] https://twitter.com/modernserf/status/885559130055995392
[2017-07-15 01:09:17] <Sedat Gokcen> [Tweet] https://twitter.com/baeldung/status/885921989571096576
[2017-07-15 18:38:16] <Sedat Gokcen> [Tweet] https://twitter.com/ekurutepe/status/886257415347417088
[2017-07-16 22:39:58] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/886662494734909443
[2017-07-18 21:39:46] <Sedat Gokcen> https://twitter.com/erdemsengul_/status/887390870617673729
[2017-07-18 21:56:18] <Sedat Gokcen> [Card-summary] http://javascriptissexy.com/16-javascript-concepts-you-must-know-well/
[2017-07-20 22:27:12] <Sedat Gokcen> [Tweet] https://twitter.com/JavaOOQ/status/888049034073714689
[2017-07-21 08:36:39] <Sedat Gokcen> [Tweet] https://twitter.com/addyosmani/status/888098585509732352
[2017-07-22 10:54:19] <Sedat Gokcen> [Tweet] https://twitter.com/WIRED/status/887282741527674882
[2017-07-23 20:55:08] <Sedat Gokcen> [Tweet] https://twitter.com/JavaScriptDaily/status/889195189864206338
[2017-07-25 07:37:08] <Sedat Gokcen> [Tweet] https://twitter.com/java/status/888401179738296320
[2017-07-26 21:47:20] <Sedat Gokcen> [Tweet] https://twitter.com/serkan_ozal/status/890284626006212608
[2017-07-27 00:46:54] <Sedat Gokcen> [Tweet] https://twitter.com/MazlumTosun3/status/890342238303256577
[2017-07-27 09:46:52] <Sedat Gokcen> [Tweet] https://twitter.com/umitunal_/status/890472813559263232
[2017-07-27 09:53:41] <Sedat Gokcen> [Tweet] https://twitter.com/CarloPescio/status/890182579634221057
[2017-07-27 13:35:10] <Sedat Gokcen> [Tweet] https://twitter.com/MGrzejszczak/status/890530568919810049
[2017-07-27 16:03:25] <Sedat Gokcen> [Tweet] https://twitter.com/java/status/890573238719434752
[2017-07-27 22:59:16] <Sedat Gokcen> [Tweet] https://twitter.com/microweekly/status/890674154533523456
[2017-07-28 20:18:09] <Sedat Gokcen> [Tweet] https://twitter.com/mikewest/status/890270561003241474
[2017-07-29 11:08:36] <Sedat Gokcen> [Tweet] https://twitter.com/PinterestEng/status/891020250552057856
[2017-07-30 10:09:09] <Sedat Gokcen> [Tweet] https://twitter.com/rotnroll666/status/891567183196827648
[2017-07-30 10:35:22] <Sedat Gokcen> [Tweet] https://twitter.com/vahtis/status/883829730625146881
[2017-07-31 22:51:58] <Sedat Gokcen> [Tweet] https://twitter.com/RichardCuica/status/892121955385696264
[2017-08-04 19:20:55] <Sedat Gokcen> [Tweet] https://twitter.com/java/status/893509586497482754
[2017-08-05 21:14:24] <Sedat Gokcen> [Tweet] https://twitter.com/acemarke/status/893903475498778626
[2017-08-08 08:56:26] <Sedat Gokcen> [Tweet] https://twitter.com/gokhanatil/status/894547114054885376
[2017-08-08 12:55:04] <Sedat Gokcen> [Tweet] https://twitter.com/sharifsbeat/status/894217769243353088
[2017-08-08 16:12:21] <Sedat Gokcen> [Tweet] https://twitter.com/changelog/status/894922668193042433
